"ERROR: ""%s"" is not a valid file.","CHYBA: ""%s"" není platný soubor."
Error: %ls.\n,Chyba: %ls.\n
Error: %ls\n,Chyba: %ls.\n
error: %s\n,chyba: %s\n
Error: \nExponent error in real number,Chyba: \nChyba exponentu v reálném čísle
Error: Can't Find the Registry information.,Chyba: Nelze najít registrační informace
Error: Can't Open the Related KEY!,Chyba: Nelze otevřít příslušný KLÍČ!
ERROR: Failed to load the file.,CHYBA: Chybné nažtení souboru.
ERROR: Failed to save the file.,CHYBA: Uložení souboru selhalo.
"ERROR: File ""%ls"" not found.","CHYBA: Soubor ""%ls"" nenalezen."
ERROR: Insufficient memory!,CHYBA: Nedostatek paměti!
ERROR: Insufficient memory.,CHYBA: Nedostatek paměti.
ERROR: Invalid file type.,CHYBA: Neplatný typ souboru.
Error: Invalid input. Please try again!,Chyba: Neplatný vstup. Zkuste to znovu!
Error: No entities selected.,Chyba: Nebyly vybrány žádné objekty.
Error: The specified path or file name is invalid,Chyba: Zadaná cesta nebo název souboru je neplatný
Error: {0} is already a standard block in the current drawing.,Chyba: {0} je již standardní blok v aktuálním výkresu.
"Error:\nValue of Lisp variable %s must be a point, real or integer","Chyba:\nHodnota proměnné Lisp %s musí být bod, reálné nebo celé číslo"
Error:Unable to set system variable: SNAPUNIT.\nValue must be positive and nonzero.,Chyba:Nelze nastavit systémovou proměnnou: SNAPUNIT.\nHodnota musí být kladná a nenulová.
Errors in layout properties,Chyba: ve vlastnostech rozvržení
Errors in page setup properties,Chyba: na stránce nastavení vlastností
ESRI Shapefile (*.shp),ESRI Shapefile (*.shp)
"Establishes a chamfer on two lines which are crossed, radial or unlimited. If the objects to be chamfered do not crossed, the system will automatically trim or extend the objects until a chamfer can be created.","Vytvoří zkosení dvou úseček, které se protínají, radiální nebo neomezené. Pokud objekty, které mají být zkoseny se nekříží, systém objekty automaticky ořízne nebo prodlouží, dokud může být zkosení vytvořeno."
Establishes a link between the data in a table cell with data in a Microsoft Excel file: EDITTABLECELL,Vytvoří propojení mezi daty v buňce tabulky s daty v souboru Microsoft Excel: EDITTABLECELL
Estonian,Estonština
ET:Block,ET:Blok
ET:Dimension,ET:Kóta
ET:Layer,ET:Hladina
ET:Modify,ET:Upravit
ET:Text,ET:Text
ET:Tools,ET:Nástroje
ETRANSMIT,EPŘENOS
Etransmit,Etransmit
Evaluates the hatch,Vyhodnotí šraf
Evaluates the integrity of a drawing and corrects some errors:  AUDIT,Slouží k hodnocení integrity výkresu a k opravě některých chyb:  DIAG
Evaluates the integrity of a drawing and corrects the mistakes: AUDIT,Vyhodnocení integrity výkresu a oprava chyby: DIAG
Evaluates the leader,Vyhodnotí odkaz
Evaluator is not found to evaluate the field,Hodnotitel pro hodnocení pole nenalezen
Evenly arranges object copies along a path or a portion of a path: ARRAYPATH,Rovnoměrně uspořádá kopie objektu podél cesty nebo její části: POLECESTA
Evenly arranges object copies in a circular way around a center point or axis of rotation: ARRAYPOLAR,Rovnoměrně uspořádá kopie objektu kruhovým způsobem kolem středového bodu nebo osy otáčení: POLEKRUH
Events or Exceptions occurring during {0} are as above,Události nebo výjimky vyskytující se během {0} jsou jako výše
Evergreen,Jehličnatý
Evergreen_Plan,Jehličnatý_Půdorys
"Every change made to layer settings by using Layer control, ""Layer Properties Manager"" dialog box or -LAYER command will be tracked. You can undo the operation by executing LAYERP command. The prompt information ""Restored previous layer status."" will be displayed in command line after the settings have been restored successfully.","Každá změna provedená v nastavení hladin pomocí prvku, ""Správce vlastností hladin"" nebo příkazem -LAYER bude sledována. Spuštěním příkazu LAYERP můžete tuto operaci zrušit. Informace výzvy ""Obnoven předchozí stavu hladiny."" se v příkazovém řádku zobrazí  po úspěšném oblovení nastavení."
Exactly,Přesně
Example,Příklad
EXC,EXC
Excel Data Link,Excel datový odkaz
Excel file not found. The Excel file must be saved to link successfully.,Soubor Excelu nalezen. Soubor Excelu musí být pro link úspěšně uložen.
Excel File(*.xls),Soubor Excel(*.xls)
Excel link,Odkaz na Excel
"Except those objects on frozen or on locked layers, you can select all objects in either model space or the current layout with this command.","Kromě těchto objektů ve zmrazených nebo na uzamčených hladinách, tímto příkazem můžete vybrat všechny objekty v modelovém prostoru buď nebo aktuálního rozvržení."
Exclude blocks &without attributes,&Vyloučit bloky bez atributů
Exclude general block &properties,Vyloučit &obecné vlastnosti bloku
Exclude:,Vyloučit:
Excludes hatch objects from selection previewing.\n(System Variable PREVIEWFILTER),Vyloučí šrafováné objekty z náhledu výběru.\n(Systémová proměnná PREVIEWFILTER)
Excludes multiline text from selection previewing.\n(System Variable PREVIEWFILTER),Vyloučí víceřádkový text z náhledu výběru.\n(Systémová proměnná PREVIEWFILTER)
Excludes objects in groups from selection previewing.\n(System Variable PREVIEWFILTER),Vyloučí objekty ve skupinách z náhledu výběru.\n(Systémová proměnná PREVIEWFILTER)
Excludes objects in xrefs from selection previewing.\n(System Variable PREVIEWFILTER),Vyloučí objekty v externích referencích z náhledu výběru.\n(Systémová proměnná PREVIEWFILTER)
Excludes objects on locked layers from selection previewing.\n(System Variable PREVIEWFILTER),Vyloučí objekty v zamčených hadinách z náhledu výběru.\n(Systémová proměnná PREVIEWFILTER)
Excludes tables from selection previewing.\n(System Variable PREVIEWFILTER),Vyloučí tabulky z náhledu výběru.\n(Systémová proměnná PREVIEWFILTER)
exec command fail,neplatný příkaz exec
"Executes 3DCORBIT command to enter the continuous orbit mode. Selecting one or more objects before starting this command limits the display to those objects only. While the command is active, right-click to display other options from the 3D Orbit shortcut menu.","Provede příkaz 3DCORBIT pro vstup do režimu spojitého orbitu. Výběr jednoho nebo více objektů před spuštěním tohoto příkazu omezí zobrazení pouze na tyto objekty. Když je příkaz aktivní, kliknutím pravým tlačítkem myši zobrazíte další možnosti z místní nabídky 3D Orbit."
"Executes 3DFORBIT command or holds down ""Ctrl+Shift+mouse wheel"" at the same time to enter the free orbit mode. Selecting one or more objects before starting this command limits the display to those objects only. While the command is active, right-click to display other options from the 3D Orbit shortcut menu.","Provede příkaz 3DFORBIT nebo současně podrží ""Ctrl+Shift+kolečko myši"" pro vstup do režimu volného orbitu. Výběr jednoho nebo více objektů před spuštěním tohoto příkazu omezí zobrazení pouze na tyto objekty. Když je příkaz aktivní, kliknutím pravým tlačítkem myši zobrazíte další možnosti z místní nabídky 3D Orbit."
"Executes 3DORBIT command or holds down ""Shift+mouse wheel"" at the same time to enter the constrained orbit mode. Selecting one or more objects before starting this command limits the display to those objects only. While the command is active, right-click to display other options from the 3D Orbit shortcut menu.","Provede příkaz 3DORBIT nebo současně podrží stisknutou klávesu ""Shift+kolečko myši"" pro vstup do režimu omezené orbity. Výběr jednoho nebo více objektů před spuštěním tohoto příkazu omezí zobrazení pouze na tyto objekty. Když je příkaz aktivní, kliknutím pravým tlačítkem myši zobrazíte další možnosti z místní nabídky 3D Orbit."
Executes a sequence of commands from a script file:  SCRIPT,Provede posloupnost příkazů ze skript souboru:  DEMO
Executes a sequence of commands from a script file: SCRIPT,Provede posloupnost příkazů ze skript souboru.:  DEMO
"Executes BATTMAN command to open the Block Attribute Manager dialog box, where all attribute properties and the settings of the selected block definition can be edit. A prompt is displayed if there are no blocks with attributes in current drawing.","Spustí příkaz SPRBLOKU pro otevření dialogového okna Správce atributů bloku, kde lze upravit všechny vlastnosti atributu a nastavení vybrané definice bloku. Pokud v aktuálním výkresu nejsou žádné bloky s atributy, zobrazí se výzva."
"Executes the MTEXT in the command line, first specifies First corner for block of text, and then Opposite corner for block of text, the In-Place Text Editor will be open, in which you can input relative text contents and setup font, size or other properties for the text object.","Provede MTEXT na příkazovém řádku, nejprve určí První roh pro blok textu a poté Protilehlý roh pro blok textu, otevře se textový editor na místě, ve kterém můžete vkládat relativní obsah textu a nastavit písmo, velikost nebo další vlastnosti pro textový objekt."
"Executes UPDATEFIELD command and selects the object to update, the latest value of the field in this object will be displayed. The Date field cannot be automatically updated by FIELDEVAL methods; it can only be manually updated by UPDATEFIELD command.","Provede příkaz AKTUALIZUJTPOLE a vybere objekt k aktualizaci, zobrazí se nejnovější hodnota pole v tomto objektu. Pole Datum nelze automaticky aktualizovat metodami FIELDEVAL; lze jej aktualizovat pouze ručně příkazem AKTUALIZUJTPOLE."
EXF,EXF
Exist no valued variable,Exsituje proměnná bez hodnoty
Existing File,Procházet
Existing File!,Procházet!
Existing set,Existující množina
Exit,Konec
Exit _Exit,Konec _Exit
eXit accept _eXit accept,Konec accept _eXit accept
Exit Block Editor and Return to Drawing,Ukončete Editor bloku a vraťte se do výkresu
Exit Comparison,Konec porovnávání
Exit Customize Workspace Mode,Ukončení režimu Upravit pracovní prostor
Exits array and clears selection: ARRAYCLOSE,Ukončí pole a vyčistí výběr: POLEZAVŘI
Exits Block Editor: BCLOSE,Existující editor bloku: ZAVŘIEDBLOK
Exits comparison: FCMPCLOSE,Konec porovnávání: FCMPZAVŘI
Exits comparison: XFCMPCLOSE,Konec porovnávání: XFCMPCLOSE
Exits file comparison process,Ukončí proces porovnávání souborů
Exits Hatch Creation and closes the contextual tab,Ukončí vytváření šrafu a zavře kontextovou kartu
Exits Hatch Editor and closes the contextual tab,Ukončí editor šrafování a zavře kontextovou kartu
Exits Text Editor and closes the contextual tab,Ukončí textový editor a zavře kontextovou kartu
Exits the application and prompts to save the documents\nExit,Ukončí aplikaci a zobrazí výzvu pro uložení dokumentů\nUkončit
Exits the array command: ARRAYCLOSE,Ukončí příkaz pole: POLEZAVŘI
Exits view editor and closes the contextual tab,Ukončí editor zobrazení a zavře kontextovou kartu
Exits xref comparison process,Ukončí proces porovnání externích referencí
EXmode,EXmode
Expand All,Rozbalit vše
Expand Branch,Rozbalit větev
Expand subsets,Rozbalit podmnožiny
Expands or contracts a predefined or custom hatch pattern,Rozbalí nebo stáhne předdefinovaný nebo uživatelský šrafovací vzor
Expands or contracts the selected characters,Rozbalí nebo stáhne vybrané znaky
Expands the parameter filters tree,Rozbalí strom filtrů parametrů
Expands the Text Formatting toolbar to show more options,Rozbalí panel nástrojů Formátování textu a zobrazí další možnosti
Expected layout,Očekávané rozvržení
expecting a character,očekává znak
expecting a class variable definition,očekává definici klasické proměnné
expecting a closure or code and environment,očekává uzavření nebo kód a prostředí
expecting a cond clause,očekává druhou doložku
expecting a fixnum,očekává fixnum
expecting a foreign pointer,očekává cizí kurzor
expecting a package name,očekává název balíčku
expecting a symbol,očekává symbol
expecting a symbol or list of symbols,očekává symbol nebo seznam symbolů
expecting a symbol or number,očekává symbol nebo číslo
expecting an instance of ~S - ~S,očekává příklad ~S - ~S
expecting argument list,očekává seznam argumentů
expecting binding list,očekává seznam vazeb
expecting class,očekává kategorii
expecting delay expression,očekává zpoždění výrazu
expecting expression,očekává výraz
expecting function name,očekává název funkce
expecting init expression,očekává init výraz
expecting input port,očekává vstupní port
expecting keyword variable,očekává proměnnou klíčového slova
expecting multiple value expression,očekává několik hodnot výrazu
expecting output port,očekává výstupní port
expecting protected expression,očekává chráněný výraz
expecting quoted expression,očekává citovaný výraz
expecting selector,očekává přepínač
expecting stack pointer,očekává kurzor skladby
expecting stream,očekává tok
expecting supplied-p variable,očekává poskytnutou-p proměnnou
expecting symbol,očekává symbol
expecting symbol or function template,očekává symbol nebo šablonu funkce
expecting tag expression,očekává značku výrazu
expecting test expression,očekává zkoušku výrazu
expecting the &rest variable,očekává &zbytkovou proměnnou
expecting then clause,očekává další doložkou
expecting value expression,očekává hodnotu výrazu
Expiration date,Datum ukončení platnosti
"Expiration date can't be less than the current date, please input again!","Datum konce platnosti nesmí být menší než aktuální datum, zadejte ho znovu!"
"Expiration date can't be more than 180 days, please input again!","Datum platnosti nemůže být větší než 180 dnů, zadejte znovu!"
Expiration Date:,Datum ukončení platnosti:
"Expired views in layout space, it is strongly recommended to update views before publishing. Do you want to publish without updating views?","Prošlé zobrazení v prostoru rozvržení, důrazně doporučujeme zobrazení před publikováním aktualizovat. Chcete publikovat bez aktualizace zobrazení?"
Explode,Rozložit
EXPLODE,ROZLOŽ
Explode Attributes to Text,Rozložit atributy na text
Explode Compound Object,Rozložit kombinační objekt
Explodes block and converts attributes to text: BURST,Rozloží blok a konvertuje atributy na text:  BURST
Explodes blocks and converts attributes to text: BURST,Rozloží blok a konvertuje atributy na text: BURST
Explodes Mtext into texts: MTEXP,Rozloží odstavcový text na řádkový text:  MTEXP
Explodes text or mtext objects into 2D polylines: TXTEXP,Rozloží textové nebo mtextové objekty na 2D křivky: TEXTNAKŘIVKY
Explodes the 3dPolyline,Rozloží 3D křivku
Explodes the block and returns the sub-entities as an array of Object,Rozloží blok a vrátí dílčí entity jako pole objektu
"Explodes the lightweight polyline, and returns the sub-entities as an array of Object",Rozloží křivku a vrátí dílčí entity jako pole objektu
Explodes the polygonmesh and returns the sub-entities as an array of object,Rozloží mnohoúhelníkovou síť a vrátí dílčí entity jako pole objektu
"Explodes the polyline, and returns the sub-entities as an array of Object",Rozloží křivku a vrátí dílčí entity jako pole objektu
Explodes the region and returns the sub-entities as an array of object,Rozloží oblast a vrátí dílčí entity jako pole objektu
